address,beds,baths,sqft,date,price,city,type
  1005 Benedict Canyon Dr,8,11,10379,03/08/2014Hilton & HylandFeatured ,1.80E+07,Beverly Hills,sfh
  10084 Westwanda Dr,2,3,2013,12/11/2013Coldwell Banker Residential Brokerage - Sherman OaksFeatured ,950000,Beverly Hills,sfh
  1009 N Beverly Dr,4,5,3476,03/18/2014Hilton & Hyland ,9750000,Beverly Hills,sfh
  1010 N Rexford Dr,5,6.5,7718,03/01/2014John Aaroe Group ,16500000,Beverly Hills,sfh
  10101 Angelo View Dr,3,1.5,4000,03/24/2014Rodeo Realty Inc. ,24250000,Beverly Hills,sfh
  1013 N Beverly Dr,7,8,6365,03/18/2014Hilton & Hyland ,13450000,Beverly Hills,sfh
  1014 Laurel Way,6,8.5,11200,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,11745000,Beverly Hills,sfh
  1015 N Beverly Dr,7,6.5,7000,03/24/2014Rodeo Realty - Beverly Hills ,8950000,Beverly Hills,sfh
  1029 Hanover Dr,5,5.5,5300,12/11/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,13995000,Beverly Hills,sfh
  1085 Carolyn Way,4,4,3200,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,3255000,Beverly Hills,sfh
  1088 N Hillcrest Rd,4,6,4230,02/25/2014Hilton & Hyland ,10995000,Beverly Hills,sfh
  1089 N Hillcrest Rd,6,7,4436,01/01/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,6495000,Beverly Hills,sfh
  1091 Laurel Way,8,12,14000,03/25/2014Nourmand & Associates-BH ,18950000,Beverly Hills,sfh
  1119 Wallace Rdg,4,3.5,4002,02/28/2014Hilton & Hyland ,7750000,Beverly Hills,sfh
  1120 Loma Vista Dr,4,4,4182,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,5295000,Beverly Hills,sfh
  1130 Coldwater Canyon Dr,4,4.5,2690,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2595000,Beverly Hills,sfh
  1133 Tower Rd,4,7,6141,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,7995000,Beverly Hills,sfh
  1152 Calle Vista Dr,6,8,4092,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,15500000,Beverly Hills,sfh
  1178 Eventide Pl,4,3,2991,02/25/2014Hilton & Hyland ,2995000,Beverly Hills,sfh
  11955 Pinnacle Pl,4,6,5017,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,3650000,Beverly Hills,sfh
  12055 Summit Cir,7,8,10000,03/14/2014Nelson Shelton & Associates ,12880000,Beverly Hills,sfh
  1225 Beverly Estates Ter,4,4,2927,03/25/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2895000,Beverly Hills,sfh
  1234 Coldwater Canyon Dr,4,4,3405,03/24/2014Coldwell Banker Residential Brokerage - Sunset StripFeatured ,2795000,Beverly Hills,sfh
  1240 Benedict Canyon Dr,7,9,10993,03/17/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,15995000,Beverly Hills,sfh
  12630 Mulholland Dr,4,4,4130,02/25/2014Hilton & Hyland ,4995000,Beverly Hills,sfh
  12701 Mulholland Dr,2,2,1712,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,1399000,Beverly Hills,sfh
  1278 Angelo Dr,4,5,6898,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,12500000,Beverly Hills,sfh
  1280 Monte Cielo Dr,6,7,5214,03/25/2014Ferraro & Assoc. ,4499000,Beverly Hills,sfh
  1292 Monte Cielo Dr,7,8,8000,03/19/2014The Agency ,6999000,Beverly Hills,sfh
  1312 Beverly Grove Pl,4,4.5,5523,03/19/2014Teles PropertiesFeatured ,3389000,Beverly Hills,sfh
  1317 Delresto Dr,5,5,5239,02/27/2014Hilton & Hyland ,6995000,Beverly Hills,sfh
  1320 Beverly Grove Pl,5,6,5911,03/24/2014Sotheby's International Realty -Featured ,5250000,Beverly Hills,sfh
  1323 Shadybrook Dr,3,3.5,4169,03/03/2014Barcode Properties ,2799000,Beverly Hills,sfh
  1326 Benedict Canyon Dr,4,6,4830,03/22/2014KELLER WILLIAMS BEVERLY HILLS REALTY ,3339000,Beverly Hills,sfh
  1328 Beverly Grove Pl,4,3,2394,02/10/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2399000,Beverly Hills,sfh
  1331 Schuyler Rd,5,6,5393,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,3895000,Beverly Hills,sfh
  1335 Carla Ln,3,4,3450,03/01/2014John Aaroe Group ,5495000,Beverly Hills,sfh
  13870 Mulholland Dr,6,9,11000,03/08/2014RE/MAX GRAND CENTRAL ,7900000,Beverly Hills,sfh
  13964 Aubrey Rd,7,9.5,14000,03/24/2014Coldwell Banker Real Estate Brokerage ,13400000,Beverly Hills,sfh
  13981 Aubrey Rd,5,7,7979,03/01/2014Hilton & Hyland ,9900000,Beverly Hills,sfh
  14047 Aubrey Rd,5,7,7166,01/29/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,7200000,Beverly Hills,sfh
  1465 Benedict Canyon Dr,4,4,3705,03/01/2014John Aaroe Group ,2950000,Beverly Hills,sfh
  1471 Robmar Dr,3,2,1526,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,999000,Beverly Hills,sfh
  1501 N Beverly Dr,4,4,3464,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2695000,Beverly Hills,sfh
  1510 Lexington Rd,5,5,6690,01/31/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,16900000,Beverly Hills,sfh
  1549 Lindacrest Dr,4,5,4583,02/28/2014The Agency ,4995000,Beverly Hills,sfh
  1569 Lindacrest Dr,3,4,3800,03/07/2014Hilton & Hyland ,3995000,Beverly Hills,sfh
  1637 N Beverly Dr,3,3,2700,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2049000,Beverly Hills,sfh
  1668 Lindacrest Dr,4,5,3825,03/17/2014Keller Williams Realty Hollywood Hills ,3150000,Beverly Hills,sfh
  1680 Clear View Dr,4,3,3185,03/24/2014Sotheby's International Realty -Featured ,1999000,Beverly Hills,sfh
  1731 Summitridge Dr,3,2822,NA,3/19/2014,3880000,Beverly Hills,sfh
  1811 Loma Vista Dr,4,4.5,5363,03/25/2014Nourmand & Associates-BH ,4949000,Beverly Hills,sfh
  1916 San Ysidro Dr,4,4,2730,01/07/2014Direct Express Funding Inc ,2119000,Beverly Hills,sfh
  1930 Benedict Canyon Dr,5,6,5892,03/19/2014Engel & Volkers Santa MonicaFeatured ,5249000,Beverly Hills,sfh
  1944 N Beverly Dr,5,5.5,5000,03/24/2014Rodeo Realty - Beverly Hills ,2600000,Beverly Hills,sfh
  1952 Coldwater Canyon Dr,4,5,2886,03/16/2014Berkshire Hathaway HomeService ,1590000,Beverly Hills,sfh
  1955 Loma Vista Dr,4,5,3876,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,3875000,Beverly Hills,sfh
  1966 Carla Rdg,5,6,5877,03/14/2014Hilton & Hyland ,8999000,Beverly Hills,sfh
  1975 Loma Vista Dr,4,5,4195,03/24/2014Sotheby's International Realty -Featured ,4395000,Beverly Hills,sfh
  2055 N Beverly Dr,3,3,2459,03/21/2014Hilton & Hyland ,1990000,Beverly Hills,sfh
  2147 Coldwater Canyon Dr,4,3.5,3590,12/11/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2475000,Beverly Hills,sfh
  2229 Summitridge Dr,5,6,9757,02/27/2014SSR MAIN Inc. ,5450000,Beverly Hills,sfh
  22760 Saddle Peak Rd,3,2.5,3006,03/24/2014Coldwell Banker Real Estate Brokerage ,2950000,Beverly Hills,sfh
  2376 Kimridge Rd,3,3.5,3943,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2295000,Beverly Hills,sfh
  2383 Bowmont Dr,4,4.5,3794,03/24/2014Sotheby's International Realty -Featured ,3595000,Beverly Hills,sfh
  2411 Benedict Canyon Dr,3,4,3258,03/24/2014Rodeo Realty - Beverly Hills ,1895000,Beverly Hills,sfh
  2481 Summitridge Dr,1,1,8049,03/21/2014John Aaroe Group ,8195000,Beverly Hills,sfh
  2569 Benedict Canyon Dr,4,4,2874,03/18/2014John Aaroe GroupFeatured ,2750000,Beverly Hills,sfh
  2601 Summitridge Dr,3,2,1497,02/25/2014Hilton & Hyland ,14900000,Beverly Hills,sfh
  2654 Eden Pl,4,7,3422,03/25/2014Nourmand & Associates-BH ,4349000,Beverly Hills,sfh
  2670 Bowmont Dr,8,11,10357,03/24/2014Rodeo Realty - Beverly Hills ,8695000,Beverly Hills,sfh
  2700 Hutton Dr,4,4,3400,03/18/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2999999,Beverly Hills,sfh
  2720 Benedict Canyon Dr,7,6,6658,02/28/2014KELLER WILLIAMS BEVERLY HILLS REALTY ,4795000,Beverly Hills,sfh
  2743 Ellison Dr,2,3.5,1612,03/24/2014Sotheby's International Realty -Featured ,1950000,Beverly Hills,sfh
  2761 Hutton Dr,3,3,3185,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2495000,Beverly Hills,sfh
  2799 Ellison Dr,3,2.5,2415,03/24/2014Sotheby's International Realty -Featured ,2295000,Beverly Hills,sfh
  2845 Royston Pl,4,6,3900,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2825000,Beverly Hills,sfh
  3025 Benedict Canyon Dr,4,5,4069,12/21/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,1695000,Beverly Hills,sfh
  3085 Franklin Canyon Dr,3,4,2781,03/22/2014Pinnacle Estate Properties In ,1700000,Beverly Hills,sfh
  3087 Deep Canyon Dr,7,7,4201,03/17/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2595000,Beverly Hills,sfh
  3183 Abington Dr,5,6,6123,12/11/2013Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,3695000,Beverly Hills,sfh
  329 N Palm Dr,4,4,3920,02/27/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,3649000,Beverly Hills,sfh
  425 Martin Ln,5,6.5,6600,03/01/2014John Aaroe GroupFeatured ,9900000,Beverly Hills,sfh
  511 Doheny Rd,7,9,8704,01/29/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,12900000,Beverly Hills,sfh
  516 N Rexford Dr,5,4,6600,03/24/2014Rodeo Realty - Beverly Hills ,8500000,Beverly Hills,sfh
  519 N ,5,7,6195,2/27/2014,6089685,Beverly Hills,sfh
  520 N Rexford Dr,4,4,3305,03/10/2014Featured ,4695000,Beverly Hills,sfh
  525 Chalette Dr,4,6,6350,02/25/2014Hilton & HylandFeatured ,9998000,Beverly Hills,sfh
  607 N Alta Dr,6,6,5310,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,5585000,Beverly Hills,sfh
  610 Walden Dr,4,4,5586,8/23/2013,5495000,Beverly Hills,sfh
  613 Mountain Dr,7,8,13227,12/11/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,24995000,Beverly Hills,sfh
  613 N Elm Dr,3,5,5625,03/25/2014Nourmand & Associates-BH ,5890000,Beverly Hills,sfh
  614 N Palm Dr,5,9,8457,03/23/2014The Agency ,9500000,Beverly Hills,sfh
  616 Foothill Rd,7,9,9888,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,9995000,Beverly Hills,sfh
  618 N Sierra Dr,5,7.5,6221,02/25/2014Hilton & Hyland ,9995000,Beverly Hills,sfh
  627 N Arden Dr,7,6.5,6006,03/03/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,8499000,Beverly Hills,sfh
  631 N Crescent Dr,6,3,3299,03/08/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,8500000,Beverly Hills,sfh
  700 N Arden Dr,5,5,4443,03/24/2014Gibson InternationalFeatured ,6495000,Beverly Hills,sfh
  701 N Hillcrest Rd,9,14,12417,03/01/2014John Aaroe Group ,1.50E+07,Beverly Hills,sfh
  709 N Beverly Dr,6,7,8762,03/04/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,12900000,Beverly Hills,sfh
  710 Walden Dr,5,6,5422,01/29/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,7399000,Beverly Hills,sfh
  711 N Beverly Dr,7,7,6311,03/14/2014Bernard E. Cohen Investments Inc. ,7500000,Beverly Hills,sfh
  729 N Camden Dr,4,4,3432,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,8750000,Beverly Hills,sfh
  801 N Doheny Dr,4,5,2983,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2795000,Beverly Hills,sfh
  818 N Roxbury Dr,4,6,9302,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,13800000,Beverly Hills,sfh
  9011 Alto Cedro Dr,5,5.5,4069,03/18/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,6375000,Beverly Hills,sfh
  909 N ,5,6,6736,3/14/2014,11900000,Beverly Hills,sfh
  9123 Hazen Dr,4,3.5,4355,03/19/2014Teles Properties ,2850000,Beverly Hills,sfh
  9152 Janice Pl,7,9,8520,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,8395000,Beverly Hills,sfh
  917 Loma Vista Dr,7,13,12000,03/06/2014The Agency ,17900000,Beverly Hills,sfh
  917 N Crescent Dr,8,12,15000,03/04/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,16500000,Beverly Hills,sfh
  9307 Readcrest Dr,4,4.5,5200,3/21/2014,5500000,Beverly Hills,sfh
  9321 Cherokee Ln,4,5,4000,03/07/2014Hilton & Hyland ,3195000,Beverly Hills,sfh
  9324 Beverly Crest Dr,3,2.5,1700,03/24/2014Rodeo Realty Inc. ,2395000,Beverly Hills,sfh
  945 Foothill Rd,6,9,11838,03/21/2014Hilton & Hyland ,2.10E+07,Beverly Hills,sfh
  9480 Readcrest Dr,6,8,6000,02/25/2014Hilton & Hyland ,9995000,Beverly Hills,sfh
  9501 Gloaming Dr,7,6,6377,03/24/2014Westside Estate Agency ,29500000,Beverly Hills,sfh
  9504 Highridge Dr,4,5,2468,03/18/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,1795000,Beverly Hills,sfh
  9544 Oak Pass Rd,3,3,2828,03/15/2014Teles Properties Inc. ,3295000,Beverly Hills,sfh
  9565 Cherokee Ln,5,5,4222,01/29/2014Regent Brokergae Co. ,2750000,Beverly Hills,sfh
